万年青		强心利尿、清热解毒、止血的功效
蛤壳		清热化痰、软坚散结、制酸止痛的功效，临床用于治疗痰火咳嗽、胸胁疼痛、痰中带血、瘰疬瘿瘤、胃痛吞酸，外治湿疹、烫伤
蜂胶		抗菌消炎、调节免疫、抗氧化、加速组织愈合的作用，用于高脂血症和糖尿病的辅助治疗
蜗牛		清热解毒、镇惊、消肿功效
蟛蜞菊		清热、解毒、祛瘀、消肿的功效，临床用于治疗白喉、百日咳
西瓜		清热解暑、除烦止渴、利小便的功效，临床用于治疗暑热烦渴等
谷精草		疏散风热、明目、退翳，用于风热目赤、肿痛羞明、眼生翳膜、风热头痛
败酱		清热解毒的功效
赤芍		清热凉血、散瘀止痛的功效，临床用于温毒发斑、吐血衄血、目赤肿痛、肝郁胁痛、经闭痛经、癥瘕腹痛、跌扑损伤、痈肿疮疡
轮环藤		清热解毒的功效
连翘		清热解毒、消肿散结的功效，临床用于治疗痈疽、瘰疬、乳痈、丹毒、风热感冒、湿病初起、温热入营、高热烦渴、神昏发斑、热淋尿闭
通草		清热利尿、通气下乳的功效，临床用于治疗湿热尿赤、淋病涩痛、水肿尿少、乳汁不下
野菊花		清热解毒的功效，用于疔疮痈肿、目赤肿痛、头痛眩晕
金果榄		清热解毒、利咽、止痛的功效，临床用于治疗咽喉肿痛、痈疽疔毒、泄泻、痢疾、脘腹热痛
金荞麦		清热解毒、排脓祛瘀的功效，临床用于治疗肺脓疡、麻疹肺炎、扁桃体周围脓肿
金莲花		清热解毒的功效，临床用于治疗上呼吸道感染、扁桃体炎等
金银花		清热解毒、凉散风热的功效，临床用于治疗痈肿疔疮、喉痹、丹毒、热毒血痢、温病发热
银柴胡		清虚热、除疳热的功效，临床用于治疗阴虚发热、骨蒸劳热、小儿疳热
锦灯笼		清热解毒、利咽、化痰、利尿的功效，临床用于治疗咽痛音哑、痰热咳嗽、小便不利，外治疱疮、湿疹
雪胆		清热、解毒、消肿、止痛的功效，临床用于治疗咽喉肿痛等
青叶胆		清肝利胆、清热利湿的功效，临床用于治疗黄疸尿赤、热淋涩痛
青葙		燥湿清热、杀虫、止血、明目去翳的功效，临床用于治疗风瘙身痒、疮疥等
青葙子		清肝、明目、退翳的功效，临床用于治疗肝热目赤、眼生翳膜、视物昏花、肝火眩晕
青蒿		清热解暑、除蒸、截疟的功效，临床用于治疗暑邪发热、阴虚发热、夜热早凉、骨蒸痨热、疟疾寒热、湿热黄疸
青黛		清热解毒、凉血、定惊的功效，临床用于治疗温毒发斑、血热吐衄、胸痛咳血、口疮、痄腮、喉痹、小儿惊痫，宜入丸散，外用适量
飞扬草		清热利湿、解毒消肿的功效，临床用于治疗疟疾等
马兜铃		清肺降气、止咳平喘、清肠消痔的功效，临床用于治疗肺热喘咳、痰中带血、肠热痔血、痔疮肿痛
马蔺		清热解毒、祛湿除痹、止血利尿、通淋杀虫的功效
马蔺子		清热利湿、解毒消肿、凉血止血、祛湿通痹、健脾和胃的功效
鲎		清热明目、解毒消肿功效
鲜地黄		清热生津、凉血、止血的功效，临床用于治疗热病伤阻、舌绛烦渴、发斑发疹、吐血、衄血、咽喉肿痛
鳖甲		滋阴潜阳、软坚散结、退热除蒸的功效，临床用于治疗阴虚发热、劳热骨蒸、虚风内动、经闭、癥瘕、久疟疟母
鸡骨草		清热解毒、疏肝止痛的功效，临床用于治疗黄疸、胁肋不舒、胃脘胀痛、急慢性肝炎、乳腺炎
鸦胆子		清热解毒、截疟、止痢、腐蚀赘疣的功效，临床用于治疗痢疾、疟疾，外治赘疣、鸡眼
鹦鹉		清热解毒的功效，临床用于治疗肺结核、肺虚等
黄柏		清热燥湿、泻火除蒸、解毒疗疮的功效，临床用于治疗湿热泻痢、黄疸、带下、热淋、脚气、痿躄、骨蒸劳热、盗汗、遗精、疮疡肿毒、湿疹瘙痒
黄栌		清热解毒、清利湿热的功效，临床用于治疗黄疸、漆疮、皮肤瘙痒症
黄芩		清热燥湿、泻火解毒、止血、安胎的功效，临床用于治疗湿温、暑温胸闷呕恶、湿热痞满、泻痢、黄疸、肺热咳嗽、高热烦渴、血热吐衄、痈肿疮毒、胎动不安
黄藤		清热解毒、泻火通便的功效，临床用于治疗热毒内盛、便秘、泻痢、咽喉肿痛、目赤红肿、痈肿疮毒
龙胆		清热燥湿、泻肝胆火的功效，临床用于治疗湿热黄疸、阴肿阴痒、带下、强中、湿疹瘙痒、目赤、耳聋、胁痛、口苦、惊风抽搐
卡瓦胡椒根		为胡椒属植物。
干姜		温中散寒、回阳通脉、燥湿消痰的功效，用于脘腹冷痛、呕吐泄泻、肢冷脉微、痰饮喘咳
生姜		解表散寒、温中止呕、化痰止咳的功效，用于风寒感冒，胃寒呕吐，寒痰咳嗽
白芥		温中散寒的功效，临床用于治疗咳嗽、胃痛、腹冷痛等
莳萝		温脾开胃功效
薏苡仁		健脾渗湿、除痹止泻、清热排脓的功效，临床用于治疗水肿、脚气、小便不利、湿痹拘挛、脾虚泄泻、肺痈、肠痈、扁平疣
丁香		温中降逆、补肾助阳的功效，临床用于治疗脾胃虚寒、呃逆呕吐、食少吐泻、心腹冷痛、肾虚阳痿等
乌药		顺气止痛、温肾散寒的功效，临床用于治疗胸腹胀痛，气逆喘急、膀胱虚冷，遗尿，疝气，痛经
九里香		行气止痛、活血散瘀的功效，临床用于治疗胃痛、风湿痹痛，外治牙痛、跌扑肿痛、虫蛇咬伤
九香虫		理气止痛、温中助阳的功效，用于胃寒胀痛、肝胃气痛、肾虚阳痿、腰膝酸痛
亚麻		平肝、补虚、活血、止痛、顺气、润肠的功效，临床用于治疗慢性肝炎、睾丸炎等
佛手		舒肝理气、和胃止痛的功效，临床用于治疗肝胃气滞、胸胁胀痛、胃脘痞满、食少呕吐
八月札		舒肝理气、活血止痛、除烦利尿的功效，临床用于治疗肝胃气痛、胃热食呆、烦渴、赤白痢疾、腰痛、胁痛、疝气、痛经、子宫下坠
八角枫		疏风散寒、行气通络的功效，临床用于治疗风湿疼痛等
刀豆		温中、下气、止呃的功效，临床用于虚寒呃逆、呕吐
刺猬皮		降气定痛、凉血止血的功效，临床用于治疗反胃吐食、腹痛疝气、肠风痔漏、遗精等
化橘红		散寒、燥湿、利气、消痰的功效，临床用于治疗风寒咳嗽、喉痒痰多、食积伤酒、呕恶痞闷
厚朴花		理气，化湿的功效，临床用于治疗胸脘痞闷胀满、纳谷不香
吴茱萸		散寒止痛、降逆止呕、助阳止泻的功效，临床用于治疗厥阴头痛、寒疝腹痛、寒湿脚气、经行腹痛、脘腹胀痛、呕吐吞酸、五更泄泻，外治口疮、高血压
咖啡		理气作用
土木香		健脾和胃、调气解郁、止痛安胎的功效，临床用于治疗胸胁、脘腹胀痛、呕吐泻痢、胸胁挫伤、岔气作痛、胎动不安
大腹皮		下气宽中、行水消肿的功效，用于湿阻气滞、脘腹胀闷、大便不爽、水肿胀满、脚气浮肿、小便不利
大蒜		行滞气、暖脾胃、消症积、解毒、杀虫的功效
大麦		和胃、宽肠、利水的功效
娑罗子		理气宽中、和胃止痛的功效，临床用于治疗胸腹胀闷、胃脘疼痛
小茴香		散寒止痛、理气和胃的功效，临床用于治疗寒疝腹痛、睾丸偏坠、痛经、少腹冷痛、脘腹胀痛、食少吐泻、睾丸鞘膜积液
山柰		行气温中、消食、止痛的功效，用于胸膈胀满、脘腹冷痛、饮食不消
山楂		消食健胃、行气散瘀的功效，临床用于治疗肉食积滞、胃脘胀满、泻痢腹痛、瘀血经闭、产后瘀阻、心腹刺痛、疝气疼痛、高脂血症
川木香		行气止痛的功效，临床用于脘腹胀痛、肠鸣腹泻、里急后重、两胁不舒、肝胆疼痛
川楝子		疏肝行气、驱虫的功效，临床用于治疗胸胁、脘腹胀痛、疝痛、虫积腹痛
川芎		活血行气、祛风止痛的功效，临床用于治疗经闭痛经、癥瘕腹痛、胸胁刺痛、跌扑肿痛、头痛、风湿痹痛
延胡索		活血、利气、止痛的功效，临床用于治疗胸胁、脘腹疼痛，经闭痛经、产后瘀阻、跌扑肿痛
延龄草		祛风疏肝、生肌止血、镇痛的功效
木瓜		平肝舒筋、和胃化湿的功效，临床用于治疗湿痹拘挛、腰膝关节酸重疼痛、吐泻转筋、脚气水肿
木香		行气止痛、健脾消食的功效，临床用于治疗胸脘胀痛、泻痢后重、食积不消、不思饮食
木麻黄		温寒行气、止咳化痰的功效，临床用于治疗疝气、寒湿泄泻、慢性咳嗽
杏		降气、止咳平喘的功效
枳壳		理气宽中、行滞消胀的功效，临床用于治疗胸胁气滞、胀满疼痛、食积不化、痰饮内停、胃下垂、脱肛、子宫脱垂
枳实		破气消积、化痰散痞的功效，临床用于治疗积滞内停、痞满胀痛、泻痢后重、大便不通、痰滞气阻胸痹、结胸、胃下垂、脱肛、子宫脱垂
枸橘		疏肝理气、行气止痛、祛风止痒、解酒毒、消肿止呕的功效，临床用于治疗胸腹胀满、胃痛等
柿蒂		降逆下气的功效，临床用于治疗呃逆
梅花		开郁和中、化痰、解毒的功效，临床用于治疗郁闷心烦、肝胃气痛、梅核气、瘰疬疮毒
槟榔		杀虫消积、降气、行水、截疟的功效，用于绦虫、蛔虫、姜片虫病、虫积腹痛、积滞泻痢、里急后重、水肿脚气、疟疾
橄榄核		行气止痛的功效，临床用于治疗诸鱼骨鲠、胃痛、疝气等
橘核		理气、散结、止痛的功效，临床用于治疗小肠疝气、睾丸肿痛、乳痈肿痛
檀香		行气温中、开胃止痛的功效，临床用于治疗寒凝气滞、胸痛、腹痛、胃痛食少、冠心病、心绞痛
母丁香		温中降逆、补肾助阳的功效，临床用于治疗脾胃虚寒、呃逆呕吐、食少吐泻、心腹冷痛、肾虚阳痿
水红花子		散血消癥、消积止痛的功效，临床用于治疗癥瘕痞块、瘿瘤肿痛、食积不消、胃脘胀痛
沉香		行气止痛、温中止呕、纳气平喘的功效，临床用于治疗胸腹胀闷疼痛、胃寒呕吐呃逆、肾虚气逆喘急
沙苑子		温补肝肾、固精、缩尿、明目的功效，临床用于治疗肾虚腰痛、遗精早泄、白浊带下、小便余沥、眩晕目昏
海芋		解毒疗疮、杀虫疗癣、祛风除湿、理气除疝的功效
灵猫香		辟秽、行气、止痛的功效，临床用于治疗心腹卒痛、疝气痛、心绞痛等
灶心土		温中燥湿、和胃止呕、温脾涩肠、止血的功效，临床用于治疗呕吐反胃、腹痛泄泻、出血等
玫瑰花		行气解郁、和血、止痛的功效，临床用于治疗肝胃气痛、食少呕恶、月经不调、跌扑伤痛
瓜蒌		清热涤痰、宽胸散结、润燥滑肠的功效，临床用于肺热咳嗽、痰浊黄稠、结胸痞满、乳痈、肺痈、肠痈肿痛、大便秘结
瓜蒌皮		清化热痰、利气宽胸的功效，临床用于治疗痰热咳嗽、胸闷胁痛
甘松		理气止痛、开郁醒脾的功效，临床用于治疗脘腹胀满、食欲不振、呕吐，外治牙痛、脚肿
白扁豆		健脾化湿、和中消暑的功效，临床用于脾胃虚弱、食欲不振、大便溏泻、白带过多、暑湿吐泻、胸闷腹胀
砂仁		化湿开胃、温脾止泻、理气安胎的功效，用于湿浊中阻、脘痞不饥、脾胃虚寒、呕吐泄泻、妊娠恶阻、胎动不安
竹叶		清热除烦、生津利尿、化痰止咳、降逆止呕、疏风通络的功效
紫苏子		降气消痰、平喘、润肠的功效，临床用于治疗痰壅气逆、咳嗽气喘、肠燥便秘
紫苏梗		理气宽中、止痛、安胎的功效，临床用于治疗胸膈痞闷、胃脘疼痛、嗳气呕吐、胎动不安
红木香		行气调中、活血通络、止痛的功效，临床用于治疗气滞腹胀痛、胃痛等
绿萼梅		疏肝解郁作用，临床用于治疗胸胁苦满、肝气郁结、月经不调等
罂粟		涩肠固脱、行气止痛的功效，临床用于治疗反胃、腹痛等
臭梧桐		祛风除湿、消积导滞、疗疳除疾、截疟、消肿散瘀、解毒疗疮的功效，临床用于治疗风湿痹痛等
芜菁		利湿解毒、降气宽中、平喘止咳、养肝明目、破积通淋的功效，临床用于治疗食积不化、黄疸、消渴等
芦根		清热生津、除烦、止呕、利尿的功效，临床用于治疗热病烦渴、胃热呕哕、肺热咳嗽、肺痈吐脓、热淋涩痛
芦苇		清热生津、除烦止呕、解河豚鱼毒的功效
芫花		泻水逐饮、解毒杀虫的功效，临床用于治疗水肿胀满、胸腹积水、痰饮积聚、气逆喘咳、二便不利，外治疥癣秃疮、冻疮
茴香		散寒止痛、温肾缩尿、理气和胃、祛湿利浊的功效，临床用于治疗寒疝、少腹冷痛、肾虚腰痛等
草果		燥湿温中、除痰截疟的功效，临床用于治疗寒湿内阻、脘腹胀痛、痞满呕吐、疟疾寒热
草血竭		活血散血、和胃止痛、下气消食、消痞散结、利尿消肿的功效，临床用于治疗慢性胃炎、胃及十二指肠溃疡、外伤出血
草豆蔻		燥湿健脾、温胃止呕的功效，临床用于治疗寒湿内阻、脘腹胀满冷痛、嗳气呕逆、不思饮食
荔枝核		行气散结、祛寒止痛的功效，临床用于治疗寒疝腹痛、睾丸肿痛
荞麦		开胃宽肠、下气消积、解毒疗疮的功效，临床用于治疗绞肠痧、肠胃积滞等
莱菔子		消食除胀、降气化痰的功效，临床用于治疗饮食停滞、脘腹胀痛、大便秘结、积滞泻痢、痰壅喘咳
薤白		通阳散结、行气导滞的功效，用于胸痹疼痛、痰饮咳喘、泄痢后重
薯茛		理气、活血祛瘀、止血功效
藏菖蒲		温胃、消炎止痛的功效；用于补胃阳、消化不良、食物积滞、白喉、炭疽等
豆蔻		化湿消痞、行气温中、开胃消食的功效，用于治疗湿浊中阻、不思饮食、湿温初起、胸闷不饥、寒湿呕逆、胸腹胀痛、食积不消
豌豆		和中下气、利小便、解疮毒的功效，临床用于治疗霍乱、脚气、痈肿
郁李		降气、止咳平喘的功效
郁金		行气化瘀、清心解郁、利胆退黄的功效，临床用于治疗经闭痛经，胸腹胀痛、刺痛，热病神昏、癫痫发狂、黄疸尿赤
陈皮		理气健脾、燥湿化痰的功效，临床用于治疗胸脘胀满、食少吐泻、咳嗽痰多
降香		行气活血、止痛、止血的功效，临床用于治疗脘腹疼痛、肝郁胁痛、胸痹刺痛、跌扑损伤、外伤出血
青皮		疏肝破气、消积化滞的功效，临床用于治疗胸胁胀痛、疝气、乳核、乳痈、食积腹痛
韭菜		温中、行气、散血、解毒的功效
预知子		舒肝理气、活血止痛、利尿、杀虫的功效，临床用于治疗脘胁胀痛、经闭痛经、小便不利、蛇虫咬伤
香附		行气解郁、调经止痛的功效，临床用于治疗肝郁气滞，胸、胁、脘腹胀痛，消化不良，胸脘痞闷，寒疝腹痛，乳房胀痛，月经不调，经闭痛经
高良姜		温胃散寒、消食止痛的功效，用于脘腹冷痛、胃寒呕吐、嗳气吞酸
鸡矢藤		祛风活血、止痛解毒、消食导滞的功效，临床用于治疗风湿疼痛、腹泻痢疾、脘腹痛
黄皮		行气止痛、消肿利水、除积止痛、理气化痰的功效，临床用于治疗黄疸、疟疾等
一叶萩		活血舒筋、健脾益肾的功效，临床用于治疗风湿腰痛等
七叶莲		祛风除湿、活血止痛的功效，临床用于治疗风湿痹痛、胃痛等
三七		散瘀止血、消肿定痛的功效，临床用于治疗咯血、吐血、衄血、便血、崩漏、外伤出血、胸腹刺痛、跌扑肿痛
三叶青		清热解毒、活血祛瘀功效
三棱		破血行气、消积止痛的功效，用于癥瘕痞块、瘀血经闭、食积胀痛
丝瓜		清热解毒、化痰凉血的功效，临床用于治疗热病烦渴等
丝瓜络		通络、活血、祛风功效，临床用于治疗痹痛拘挛、胸胁胀痛、乳汁不通
乳香		调气活血、止痛、追毒的功效，临床用于治疗气血凝滞、心腹疼痛、痈疮肿毒等
五倍子		敛肺降火、涩肠止泻、敛汗止血、收湿敛疮的功效，临床用于治疗肺虚久咳、肺热痰嗽、久泻久痢、盗汗、消渴、便血痔血、外伤出血、痈肿疮毒、皮肤湿烂
五加		活血祛瘀、祛风湿功效
五加皮		祛风湿，补肝肾，强筋骨的功效，临床用于治疗风湿痹痛，筋骨痿软，小儿行迟，水肿、脚气
五灵脂		行血止痛、活血止血、解毒、健脾消积的功效，临床用于治疗心腹血气诸痛、崩漏等
亚乎奴		消肿止痛、止血、生肌的功效，临床用于治疗外伤肿痛、创伤出血等
人中白		清热、降火、消瘀的功效，临床用于治疗劳热、肺痿等
仙人掌		行气活血、清热解毒、凉血止血、清肺止咳的功效，临床用于治疗心胃气痛、痞块、出血
仙鹤草		收敛止血、截疟、止痢、解毒的功效，临床用于治疗咯血、吐血、崩漏下血、疟疾、血痢、脱力劳伤、痈肿疮毒、阴痒带下
侧柏叶		凉血止血、生发乌发的功效，临床用于治疗吐血衄血、咯血、便血、崩漏下血、血热脱发、须发早白
儿茶		生肌敛疮的功效，临床用于治疗溃疡不敛等
元宝草		活血止血、解毒消痈、下乳通经、止咳敛汗的功效，临床用于治疗吐血、衄血等
凌霄花		凉血、化瘀、祛风的功效，临床用于治疗月经不调、经闭癥瘕、产后乳肿、风疹发红、皮肤瘙痒、痤疮
凤仙花		祛风湿、活血、通经的功效
刘寄奴		破血通经、敛疮消肿、醒脾消食的功效，临床用于治疗经闭癥瘕、胸腹胀痛、痈毒脓肿等证
刺槐		止血功效
刺猬皮		降气定痛、凉血止血的功效，临床用于治疗反胃吐食、腹痛疝气、肠风痔漏、遗精等
刺针草		清热解毒、活血祛瘀的功效，临床用于治疗感冒发热、喉痛、肠炎腹泻、阑尾炎、跌打损伤等证
千金子霜		逐水消肿、破血消症的功效，临床用于治疗水肿、痰饮、积滞胀满、二便不通、血瘀经闭，外治顽癣、疣等
南板蓝根		清热解毒、凉血的功效，临床用于治疗温病发斑、丹毒、流感、流脑
南蛇藤		祛风除湿、行血散血、消肿解毒的功效，临床用于治疗风湿筋骨疼痛、跌打损伤、痧气呕吐腹痛
卷柏		活血通经功效，临床用于经闭痛经、癥瘕痞块、跌打损伤
合欢皮		解郁安神、活血消肿的功效，临床用于治疗心神不安、忧郁失眠、肺痈疮肿、跌扑伤痛
四季青		清热解毒、生肌敛疮、活血止血的功效，临床用于治疗肺热咳嗽等
土鳖虫		破瘀血、续筋骨的功效
地榆		凉血止血、解毒敛疮的功效，临床用于治疗便血、痔血、血痢、崩漏、水火烫伤、痈肿疮毒
地血香		祛风除湿、行气活血的功效，临床用于治疗风湿痹痛、胃及十二指肠溃疡等
地锦草		清热解毒、活血止血的功效，临床用于治疗痢疾、泄泻、咯血、尿血、便血、崩漏、疮疖痈肿
墓头回		祛风止疟、祛瘀止血的功效，临床用于治疗温疟等
夏天无		活血通络、行气止痛的功效，临床用于治疗中风偏瘫、跌扑损伤、风湿性关节炎、坐骨神经痛
大蓟		凉血止血、祛瘀消肿的功效，临床用于治疗衄血、吐血、尿血、便血、崩漏下血、外伤出血、痈肿疮毒
大血藤		清热解毒、活血，祛风的功效，临床用于肠痈腹痛、经闭痛经、风湿痹痛、跌扑肿痛
大麻药		镇痛、消肿止血的功效，临床用于治疗风湿痛等
大黄		泻热通肠、凉血解毒、逐瘀通经的功效，临床用于治疗实热便秘、积滞腹痛、泻痢不爽、湿热黄疸、血热吐衄、目赤、咽肿、肠痈腹痛、痈肿疔疮、瘀血经闭、跌扑损伤，外治水火烫伤、上消化道出血
天名精		祛痰、清热、破血、止血、解毒、杀虫的功效，临床用于治疗乳蛾、喉痹等
女贞		行气活血、强筋壮骨、祛风明目、解毒消肿的功效，临床用于治疗胁痛、闭经、肾虚腰痛等
姜黄		破血行气、通经止痛的功效，临床用于治疗胸胁刺痛、闭经、癥瘕、风湿肩臂疼痛、跌扑肿痛
密蒙花		清热养肝、明目退翳的功效，临床用于治疗目赤肿痛、多泪羞明、眼生翳膜、肝虚目暗、视物昏花
小叶莲		调经活血的功效，临床用于治疗血瘀经闭、难产、死胎、胎盘不下
小蓟		凉血止血、祛瘀消肿的功效，临床用于治疗吐血、衄血、尿血、便血、崩漏下血、外伤出血、痈肿疮毒
山楂叶		活血化瘀、理气通脉功效，临床用于治疗气滞血瘀、胸闷憋气、心悸健忘、眩晕耳鸣
山野豌豆		祛风湿、活血、舒筋、止痛的功效，临床用于治疗风湿痛等
干漆		破瘀血、消积、杀虫的功效，临床用于治疗妇女闭经、瘀血癥瘕、虫积腹痛
广枣		行气活血、养心，安神的功效，临床用于治疗气滞血瘀、胸痹作痛，心悸气短，心神不安
救必应		清热解毒、清热燥湿、消肿止痛的功效，临床用于治疗感冒发热等
斑蝥		破血消癥、攻毒蚀疮、引赤发泡的功效，临床用于治疗癥瘕肿块、积年顽癣、瘰疬、赘疣、痈疽不溃、恶疮死肌
断血流		止血的作用，临床用于治疗崩漏、尿血、鼾衄、牙龈出血、创伤出血、子宫肌瘤出血
景天三七		止血、化瘀的功效，临床用于治疗吐血、衄血、便血等
月季		活血祛瘀的功效
月季花		活血调经的功效，临床用于治疗月经不调、痛经
木棉		清热利湿、收敛止血的功效，临床用于治疗慢性胃炎、胃溃疡出血、赤痢、瘰疬
木芙蓉叶		凉血、解毒、消肿、止痛的功效，临床用于治疗痈疽等
木通		清心火、利小便、通经下乳的功效，临床用于治疗胸中烦热、喉痹咽痛、尿赤、五淋、水肿、周身挛痛、经闭乳少
朱砂七		止血、清热解毒功效，临床用于治疗痈肿、外伤出血等
朱砂根		解毒消肿、活血止痛、祛风除湿的功效，临床用于治疗咽喉肿痛、风湿痹痛、跌打损伤
朱砂草		凉血、止血的功效，临床用于治疗吐血、咳血等
杜鹃		止血的功效
松花粉		燥湿、收敛止血的功效，临床用于治疗湿疹、黄水疮、皮肤糜烂、脓水淋沥、外伤出血、尿布性皮炎
枫香脂		活血止痛、解毒、生肌、凉血的功效，临床用于治疗跌扑损伤、痈疽肿痛、吐血、衄血、外伤出血
柿树		清湿热、利肝胆、活血化瘀功效
桃仁		活血祛瘀、润肠通便的功效，临床用于治疗经闭、痛经、癥瘕痞块、跌扑损伤
棕榈炭		收涩止血的功效，临床用于治疗吐血、衄血、尿血、便血、崩漏下血
楤木		清热解毒、利水消肿、补肾壮骨功效，临床用于治疗腹泻、痢疾、水肿等
槐花		凉血止血、清肝泻火的功效，临床用于治疗便血、痔血、血痢、崩漏、吐血、衄血、肝热目赤、头痛眩晕
槐角		清热泻火、凉血止血的功效，临床用于治疗肠热便血、痔肿出血、肝热头痛、眩晕目赤
毛冬青		清热解毒、活血通络、利水渗湿的功效，临床用于治疗肺热咳喘等
水杨梅		清热解毒、止血的功效，临床用于治疗高热泻痢、外伤出血等
水牛角		清热解毒、凉血、定惊的功效，临床用于治疗温病高热、神昏谵语、发斑发疹、吐血衄血、惊风、癫狂
水蛭		破血、逐瘀、通经的功效，用于癥瘕痞块、血瘀经闭、跌扑损伤
水飞蓟		清热解毒、舒肝利胆的功效，临床用于治疗肝胆湿热、胁痛、黄疸
没药		散血去瘀、消肿定痛的功效，临床用于治疗跌打损伤、金疮、癥瘕等
泽兰		活血化瘀、行水消肿的功效，临床用于治疗月经不调、经闭、痛经、产后瘀血腹痛、水肿
海螵蛸		收敛止血、涩精止带、制酸、敛疮的功效，临床用于治疗胃痛吞酸、吐血衄血、崩漏便血、遗精滑精、赤白带下、溃疡病，外治损伤出血、疮多脓汁
溪黄草		清热利湿、凉血散瘀的功效，临床用于治疗急性肝炎等
灶心土		温中燥湿、和胃止呕、温脾涩肠、止血的功效，临床用于治疗呕吐反胃、腹痛泄泻、出血等
煅石膏		收湿、生肌、敛疮、止血的功效，临床用于治疗溃疡不敛、湿疹瘙痒、水火烫伤、外伤出血
片姜黄		破血行气、通经止痛的作用；用于血滞经闭、行经腹痛、胸胁刺痛、风湿痹痛、肩臂疼痛、跌扑损伤
牡丹皮		清热凉血、活血化瘀的功效，临床用于治疗温热发斑、吐血衄血、夜热早凉、无汗骨蒸、经闭痛经、痈肿疮毒、跌扑伤痛
犀角		清热、凉血、定惊、解毒的功效，临床用于治疗伤寒温疫热入血分、惊狂等
独一味		活血止血、祛风止痛、干黄水的作用，用于治疗跌打损伤、外伤出血、风湿痹痛、黄水疮
王不留行		活血通经、下乳消肿的功效，临床用于治疗乳汁不下、经闭、痛经、乳痈肿痛
玫瑰花		行气解郁、和血、止痛的功效，临床用于治疗肝胃气痛、食少呕恶、月经不调、跌扑伤痛
珍珠母		平肝潜阳、定惊明目的功效，临床用于治疗头痛眩晕、烦燥失眠、肝热目赤、肝虚目昏
珠菱草		清热燥湿、凉血的功效
琥珀		镇惊安神、散瘀止血、利水通淋的功效
瘦风轮		清热解毒、凉血止痢、散瘀消肿的功效，临床用于治疗感冒头痛等
白及		收敛止血、消肿生肌的功效，临床用于治疗咯血吐血、外伤出血、疮疡肿毒、皮肤皲裂、肺结核咯血、溃疡病出血
白头翁		清热解毒、凉血止痢的功效，临床用于治疗热毒血痢、阴痒带下、阿米巴痢
白矾		为硫酸盐类矿物明矾石经加工提炼制成，主含含水硫酸铝钾。外用解毒杀虫、燥湿止痒，内服止血止泻、祛除风痰，外治用于湿疹、疥癣、聤耳流脓，内服用于久泻不止、便血、崩漏、癫痫发狂。枯矾收湿敛疮、止血化腐，用于湿疹湿疮、聤耳流脓、阴痒带下、鼻衄齿衄、鼻瘜肉。
白花丹		祛风、散瘀、解毒、杀虫的功效，临床用于治疗风湿关节疼痛等
白茅根		凉血止血、清热利尿的功效，临床用于治疗血热吐血、衄血、尿血、热病烦渴、黄疸、水肿、热淋涩痛、急性肾炎水肿
百草霜		止血、消积、清热的功效，临床用于治疗吐血等
益母草		活血调经、利尿消肿的功效，临床用于治疗月经不调、痛经、经闭、恶露不尽、水肿尿少、急性肾炎水肿
石刁柏		清热利湿、活血散结的功效
石吊兰		清肺消痰、凉血止血、祛湿化滞、通络止痛的功效，临床用于治疗肺热咳嗽、吐血等
石耳		清热、养阴、止血的功效
石见穿		活血化瘀、清热利湿、散结消肿的功效，临床用于治疗月经不调等
禹余粮		涩肠止泻、收敛止血的功效，临床用于治疗久泻、久痢、崩漏、白带
穿山龙		祛风湿、止痛、舒筋活血、止咳平喘祛痰的功效，临床用于治疗风湿性关节炎、腰腿疼痛、麻木，大骨节病、跌扑损伤、闪腰岔气、慢性支气管炎、咳嗽气喘
穿破石		祛风利湿、活血通经的功效，临床用于治疗风湿关节疼痛、黄疸等
紫檀		消肿、止血、定痛的功效，临床用于治疗肿毒、金疮出血
紫珠		活血止血、除热解毒的功效，临床用于治疗吐血、咯血等
紫草茸		清热解毒、凉血活血、祛湿杀虫、凉血解毒的功效，临床用于治疗麻疹、斑疹不易透发等
紫金龙		止痛、降压、止血的功效，临床用于治疗各种疼痛、高血压、跌打损伤等
红旱莲		平肝、止血、败毒、消肿的功效
红景天		益气活血、通脉平喘的功效，临床用于治疗气虚血瘀、胸痹心痛、中风偏瘫、倦怠气喘
红花		活血通经、散瘀止痛的功效，临床用于治疗经闭、痛经、恶露不行、癥瘕痞块、疮疡肿痛
细柱五加		活血祛瘀功效
羊蹄		凉血止血、清热通便、利水、杀虫的功效，临床用于治疗大便燥结、淋浊、黄疸
美人蕉		清热利湿、调经止血、活血止血、解毒消肿的功效
肿节风		清热凉血、活血消斑、祛风通络的功效，用于血热紫斑、紫癜、风湿痹痛、跌打损伤
自然铜		散瘀、接骨、止痛的功效，临床用于治疗跌扑肿痛、筋骨折伤
艾叶		散寒止痛、温经止血的功效，临床用于治疗少腹冷痛、经寒不调、宫冷不孕、吐血、衄血、崩漏经多、妊娠下血，外治皮肤瘙痒
花生		润肺、和胃的功效，临床用于治疗燥咳等
花蕊石		化瘀止血的功效，临床用于治疗咯血，吐血，外伤出血，跌扑伤痛
苏木		行血破瘀、消肿止痛的功效，临床用于治疗闭经、痛经、产后瘀阻、胸腹刺痛、外伤肿痛
茅莓		清热解毒、祛风、活血消肿的功效，临床用于治疗感冒高热、风湿痹痛等
